x1,y1,z1,hemisphere1,network1,network_id1,image1,mdsx1,mdsy1,color1,x2,y2,z2,hemisphere2,network2,network_id2,image2,mdsx2,mdsy2,color2,corr
4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.559
4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700,0.535
10.52,50.18,-16.97,R,Default,1,roi522.png,73.392,8.346,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.52,50.18,-16.97,R,Default,1,roi522.png,73.392,8.346,#ff2700
6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.638
6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,0.537
6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.568
6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700,0.576
6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,6.3,43.43,7.98,R,Default,1,roi594.png,64.426,4.438,#ff2700,0.529
6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,0.629
7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,0.537
7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.576
7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,0.674
38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.634
38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,61.34,-16.96,-8.15,R,Default,1,roi620.png,6.812,60.576,#ff2700,0.567
44.43,-44.46,7.51,R,Ventral-Attention-Language,7,roi409.png,-22.284,44.336,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44.43,-44.46,7.51,R,Ventral-Attention-Language,7,roi409.png,-22.284,44.336,#007d7d
50.99,-43.87,3.11,R,Ventral-Attention-Language,7,roi410.png,-21.18,50.852,#007d7d,45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700,0.573
53.95,-10.88,-5.27,R,Ventral-Attention-Language,7,roi616.png,12.465,53.084,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.95,-10.88,-5.27,R,Ventral-Attention-Language,7,roi616.png,12.465,53.084,#007d7d
44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d
42.91,8.65,-21.88,R,Ventral-Attention-Language,7,roi614.png,33.124,41.536,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42.91,8.65,-21.88,R,Ventral-Attention-Language,7,roi614.png,33.124,41.536,#007d7d
3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d,0.555
53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,50.99,-43.87,3.11,R,Ventral-Attention-Language,7,roi410.png,-21.18,50.852,#007d7d,0.532
53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d,0.546
53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,0.619
52.94,23.81,2.22,R,Ventral-Attention-Language,7,roi423.png,46.35,51.424,#007d7d,3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,0.552
52.94,23.81,2.22,R,Ventral-Attention-Language,7,roi423.png,46.35,51.424,#007d7d,53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,0.638
9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.556
9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,0.6
45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,35.41,18.22,-12.66,R,Default,1,roi430.png,41.703,33.908,#ff2700,0.542
45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,0.554
45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,0.549
16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,0.589
16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,0.545
16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,0.609
16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,0.586
5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,0.602
5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,0.649
5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,52.94,23.81,2.22,R,Ventral-Attention-Language,7,roi423.png,46.35,51.424,#007d7d,0.603
11.2,60.23,6.19,R,Ventral-Attention-Language,7,roi590.png,81.416,8.984,#007d7d,9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,0.597
28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00
39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.605
39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.591
23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.433
23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.425
31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.654
31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.533
31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.624
4.81,-62.34,56.91,R,Frontal-Parietal,3,roi451.png,-45.184,5.432,#FFFB00,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.454
4.81,-62.34,56.91,R,Frontal-Parietal,3,roi451.png,-45.184,5.432,#FFFB00,5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,-0.382
49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.435
49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.418
49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.642
49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.531
49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.385
49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.39
49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.422
49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.53
49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.637
49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.631
49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.664
42.16,-56.97,47.48,R,Frontal-Parietal,3,roi458.png,-38.244,42.599,#FFFB00,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.647
59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.385
59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.532
59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.545
59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.53
59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.589
59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.557
4.49,-52.97,46.24,R,Frontal-Parietal,3,roi453.png,-34.936,4.848,#FFFB00,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.601
4.49,-52.97,46.24,R,Frontal-Parietal,3,roi453.png,-34.936,4.848,#FFFB00,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.599
4.49,-52.97,46.24,R,Frontal-Parietal,3,roi453.png,-34.936,4.848,#FFFB00,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.594
31.12,-51.36,46.78,R,Frontal-Parietal,3,roi461.png,-32.825,31.443,#FFFB00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.12,-51.36,46.78,R,Frontal-Parietal,3,roi461.png,-32.825,31.443,#FFFB00
44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.494
44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.562
44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.536
44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,42.16,-56.97,47.48,R,Frontal-Parietal,3,roi458.png,-38.244,42.599,#FFFB00,0.657
44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,0.581
57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.651
57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.547
57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.636
57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.577
57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,0.541
57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,0.529
26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.434
26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.396
26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.611
26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.583
26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.551
26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.563
26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,31.12,-51.36,46.78,R,Frontal-Parietal,3,roi461.png,-32.825,31.443,#FFFB00,0.562
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,-0.397
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.48
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.513
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,-0.448
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.479
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.599
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.557
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,4.81,-62.34,56.91,R,Frontal-Parietal,3,roi451.png,-45.184,5.432,#FFFB00,0.57
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.617
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.586
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,0.631
34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,0.654
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.503
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.466
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,-0.441
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.439
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.601
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.623
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.561
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.567
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,0.563
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,0.645
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,0.564
44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,0.646
58.85,-41.04,-2.5,R,Frontal-Parietal,3,roi401.png,-17.713,58.614,#FFFB00,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,0.57
58.85,-41.04,-2.5,R,Frontal-Parietal,3,roi401.png,-17.713,58.614,#FFFB00,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.622
