key1,x1,y1,z1,hemisphere1,network1,network_id1,image1,mdsx1,mdsy1,color1,key2,x2,y2,z2,hemisphere2,network2,network_id2,image2,mdsx2,mdsy2,color2,corr
15,15.83,24.67,51.24,R,Default,1,roi604.png,42.201,14.647,#ff2700,2,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,0.542
16,32.56,27.55,-7.85,R,Default,1,roi514.png,50.522,30.903,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,32.56,27.55,-7.85,R,Default,1,roi514.png,50.522,30.903,#ff2700
17,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.627
17,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,3,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.579
17,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,15,15.83,24.67,51.24,R,Default,1,roi604.png,42.201,14.647,#ff2700,0.548
18,3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700
19,6.3,43.43,7.98,R,Default,1,roi594.png,64.426,4.438,#ff2700,17,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.536
20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,3,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.601
20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,17,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.559
20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,18,3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700,0.535
21,10.52,50.18,-16.97,R,Default,1,roi522.png,73.392,8.346,#ff2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,10.52,50.18,-16.97,R,Default,1,roi522.png,73.392,8.346,#ff2700
22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,3,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.638
22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,0.537
22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,17,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.568
22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,18,3.19,36.01,-14.33,R,Default,1,roi525.png,58.898,1.323,#ff2700,0.576
22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,19,6.3,43.43,7.98,R,Default,1,roi594.png,64.426,4.438,#ff2700,0.529
22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,0.629
23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,2,47.46,-56.78,16.04,R,Default,1,roi478.png,-35.229,47.674,#ff2700,0.537
23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,3,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,0.576
23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,0.674
24,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.634
24,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,7,61.34,-16.96,-8.15,R,Default,1,roi620.png,6.812,60.576,#ff2700,0.567
25,44.43,-44.46,7.51,R,Ventral-Attention-Language,7,roi409.png,-22.284,44.336,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,44.43,-44.46,7.51,R,Ventral-Attention-Language,7,roi409.png,-22.284,44.336,#007d7d
26,50.99,-43.87,3.11,R,Ventral-Attention-Language,7,roi410.png,-21.18,50.852,#007d7d,6,45.57,-34.99,0.16,R,Default,1,roi412.png,-12.192,45.233,#ff2700,0.573
27,53.95,-10.88,-5.27,R,Ventral-Attention-Language,7,roi616.png,12.465,53.084,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,53.95,-10.88,-5.27,R,Ventral-Attention-Language,7,roi616.png,12.465,53.084,#007d7d
28,44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d
29,42.91,8.65,-21.88,R,Ventral-Attention-Language,7,roi614.png,33.124,41.536,#007d7d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,42.91,8.65,-21.88,R,Ventral-Attention-Language,7,roi614.png,33.124,41.536,#007d7d
30,3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,28,44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d,0.555
31,53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,26,50.99,-43.87,3.11,R,Ventral-Attention-Language,7,roi410.png,-21.18,50.852,#007d7d,0.532
31,53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,28,44.47,1.21,42.84,R,Ventral-Attention-Language,7,roi367.png,20.155,43.697,#007d7d,0.546
31,53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,30,3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,0.619
32,52.94,23.81,2.22,R,Ventral-Attention-Language,7,roi423.png,46.35,51.424,#007d7d,30,3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,0.552
32,52.94,23.81,2.22,R,Ventral-Attention-Language,7,roi423.png,46.35,51.424,#007d7d,31,53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,0.638
33,9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,17,21.23,32.31,49.92,R,Default,1,roi603.png,50.037,19.882,#ff2700,0.556
33,9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,24,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,0.6
34,45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,13,35.41,18.22,-12.66,R,Default,1,roi430.png,41.703,33.908,#ff2700,0.542
34,45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,0.554
34,45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,24,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,0.549
35,16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,0.589
35,16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,24,38.08,-57.12,29.95,R,Ventral-Attention-Language,7,roi480.png,-36.964,38.4,#007d7d,0.545
35,16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,33,9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,0.609
35,16.38,45.07,37.71,R,Ventral-Attention-Language,7,roi585.png,63.7,14.69,#007d7d,34,45.12,25.07,-10.64,R,Ventral-Attention-Language,7,roi429.png,48.554,43.491,#007d7d,0.586
36,5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,30,3.11,14.37,55.04,R,Ventral-Attention-Language,7,roi314.png,31.349,2.165,#007d7d,0.602
36,5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,31,53.12,17.8,12.03,R,Ventral-Attention-Language,7,roi495.png,39.52,51.794,#007d7d,0.649
36,5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,32,52.94,23.81,2.22,R,Ventral-Attention-Language,7,roi423.png,46.35,51.424,#007d7d,0.603
37,11.2,60.23,6.19,R,Ventral-Attention-Language,7,roi590.png,81.416,8.984,#007d7d,33,9.11,24.68,57.4,R,Ventral-Attention-Language,7,roi583.png,41.539,7.972,#007d7d,0.597
38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00
39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.605
39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.591
40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.433
40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.425
41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.654
41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.533
41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.624
42,4.81,-62.34,56.91,R,Frontal-Parietal,3,roi451.png,-45.184,5.432,#FFFB00,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.454
42,4.81,-62.34,56.91,R,Frontal-Parietal,3,roi451.png,-45.184,5.432,#FFFB00,36,5.18,45.86,39.91,R,Ventral-Attention-Language,7,roi600.png,64.064,3.492,#007d7d,-0.382
43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.435
43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.418
43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.642
43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.531
44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.385
44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.39
44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.422
44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.53
44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.637
44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.631
44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.664
45,42.16,-56.97,47.48,R,Frontal-Parietal,3,roi458.png,-38.244,42.599,#FFFB00,39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.647
46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.385
46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.532
46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.545
46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.53
46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.589
46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.557
47,4.49,-52.97,46.24,R,Frontal-Parietal,3,roi453.png,-34.936,4.848,#FFFB00,1,47.81,-65.25,33.98,R,Default,1,roi479.png,-45.208,48.321,#ff2700,0.601
47,4.49,-52.97,46.24,R,Frontal-Parietal,3,roi453.png,-34.936,4.848,#FFFB00,38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.599
47,4.49,-52.97,46.24,R,Frontal-Parietal,3,roi453.png,-34.936,4.848,#FFFB00,39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.594
48,31.12,-51.36,46.78,R,Frontal-Parietal,3,roi461.png,-32.825,31.443,#FFFB00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,31.12,-51.36,46.78,R,Frontal-Parietal,3,roi461.png,-32.825,31.443,#FFFB00
49,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.494
49,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.562
49,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.536
49,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,45,42.16,-56.97,47.48,R,Frontal-Parietal,3,roi458.png,-38.244,42.599,#FFFB00,0.657
49,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,0.581
50,57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,38,28.13,-74.86,47.58,R,Frontal-Parietal,3,roi456.png,-56.364,28.935,#FFFB00,0.651
50,57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,39,39.6,-67.34,43.65,R,Frontal-Parietal,3,roi457.png,-48.296,40.223,#FFFB00,0.547
50,57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.636
50,57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.577
50,57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,46,59.53,-54.08,1.91,R,Frontal-Parietal,3,roi474.png,-31.068,59.588,#FFFB00,0.541
50,57.64,-45.35,-11.69,R,Frontal-Parietal,3,roi319.png,-21.237,57.427,#FFFB00,49,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,0.529
51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.434
51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.396
51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.611
51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.583
51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.551
51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.563
51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,48,31.12,-51.36,46.78,R,Frontal-Parietal,3,roi461.png,-32.825,31.443,#FFFB00,0.562
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,3,6.22,-49.39,29.34,R,Default,1,roi311.png,-29.874,6.387,#ff2700,-0.397
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.48
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.513
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,-0.448
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.479
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.599
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.557
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,42,4.81,-62.34,56.91,R,Frontal-Parietal,3,roi451.png,-45.184,5.432,#FFFB00,0.57
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.617
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.586
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,49,44.87,-50.85,37.6,R,Frontal-Parietal,3,roi316.png,-31.239,45.115,#FFFB00,0.631
52,34.62,-43.64,40.1,R,Frontal-Parietal,3,roi387.png,-24.486,34.739,#FFFB00,51,26.58,-45.26,44.51,R,Frontal-Parietal,3,roi462.png,-26.648,26.764,#FFFB00,0.654
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,8,49.51,-13.25,-13.82,R,Default,1,roi618.png,10.751,48.634,#ff2700,-0.503
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,20,4.95,48.63,25.93,R,Default,1,roi599.png,68.026,3.108,#ff2700,-0.466
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,22,6.7,52.98,-5.59,R,Default,1,roi509.png,75.118,4.55,#ff2700,-0.441
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,23,7.65,53.42,12.51,R,Default,1,roi593.png,74.013,5.617,#ff2700,-0.439
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,40,23.8,-66.46,51.87,R,Frontal-Parietal,3,roi463.png,-48.457,24.466,#FFFB00,0.601
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,41,31.77,-62.59,52.74,R,Frontal-Parietal,3,roi460.png,-44.512,32.362,#FFFB00,0.623
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,43,49.98,-58.47,-5.86,R,Frontal-Parietal,3,roi471.png,-34.968,50.075,#FFFB00,0.561
53,44.34,-42.91,49.57,R,Frontal-Parietal,3,roi393.png,-24.375,44.508,#FFFB00,44,49.7,-58.26,-12.35,R,Frontal-Parietal,3,roi561.png,-34.204,49.746,#FFFB00,0.567
